key,phase_id,phase_name,phase_class,sequence_number,operation_externalId,equipment_module_externalIds,batch_externalIds,timeseries_externalIds,phase_state,description
PH_OP_FILL_BULK_TRANSFER_PROC,PH-OP-FILL-BULK-TRANSFER-PROC,Fill Bulk Transfer Operation Processing Phase,Processing,20,OP-FILL-BULK-TRANSFER,EM_FILL_PUMP,BATCH-FILL-2024-003,TS_FILL_PUMP_PRESS|TS_FILL_TANK_LEVEL,Running,Fill Bulk Transfer Operation Processing Phase executes processing activities for operation OP-FILL-BULK-TRANSFER
PH_OP_FILL_BULK_TRANSFER_COMP,PH-OP-FILL-BULK-TRANSFER-COMP,Fill Bulk Transfer Operation Completion Phase,Verification,30,OP-FILL-BULK-TRANSFER,EM_FILL_PUMP,BATCH-FILL-2024-003,TS_FILL_TANK_LEVEL|TS_FILL_VFD_SPEED,Complete,Fill Bulk Transfer Operation Completion Phase executes verification activities for operation OP-FILL-BULK-TRANSFER
PH_OP_FILL_BULK_DRAIN_INIT,PH-OP-FILL-BULK-DRAIN-INIT,Fill Bulk Drain Operation Initialization Phase,Initialization,10,OP-FILL-BULK-DRAIN,EM_FILL_PUMP,BATCH-FILL-2024-003,TS_FILL_PANEL_STATUS|TS_FILL_PUMP_TEMP,Running,Fill Bulk Drain Operation Initialization Phase executes initialization activities for operation OP-FILL-BULK-DRAIN
PH_OP_FILL_BULK_DRAIN_PROC,PH-OP-FILL-BULK-DRAIN-PROC,Fill Bulk Drain Operation Processing Phase,Processing,20,OP-FILL-BULK-DRAIN,EM_FILL_PUMP,BATCH-FILL-2024-003,TS_FILL_PUMP_TEMP|TS_FILL_PUMP_CURRENT,Running,Fill Bulk Drain Operation Processing Phase executes processing activities for operation OP-FILL-BULK-DRAIN
PH_OP_FILL_BULK_DRAIN_COMP,PH-OP-FILL-BULK-DRAIN-COMP,Fill Bulk Drain Operation Completion Phase,Verification,30,OP-FILL-BULK-DRAIN,EM_FILL_PUMP,BATCH-FILL-2024-003,TS_FILL_PUMP_CURRENT,Complete,Fill Bulk Drain Operation Completion Phase executes verification activities for operation OP-FILL-BULK-DRAIN
PH_OP_FILL_V3_COMMISSION_INIT,PH-OP-FILL-V3-COMMISSION-INIT,Fill Version Three Commission Operation Initialization Phase,Initialization,10,OP-FILL-V3-COMMISSION,EM_FILL_PUMP,BATCH-FILL-DEV-018,TS_FILL_VFD_SPEED|TS_FILL_PANEL_STATUS,Running,Fill Version Three Commission Operation Initialization Phase executes initialization activities for operation OP-FILL-V3-COMMISSION
PH_OP_FILL_V3_COMMISSION_PROC,PH-OP-FILL-V3-COMMISSION-PROC,Fill Version Three Commission Operation Processing Phase,Processing,20,OP-FILL-V3-COMMISSION,EM_FILL_PUMP,BATCH-FILL-DEV-018,TS_FILL_PANEL_STATUS|TS_FILL_PUMP_FLOW,Running,Fill Version Three Commission Operation Processing Phase executes processing activities for operation OP-FILL-V3-COMMISSION
PH_OP_FILL_V3_COMMISSION_COMP,PH-OP-FILL-V3-COMMISSION-COMP,Fill Version Three Commission Operation Completion Phase,Verification,30,OP-FILL-V3-COMMISSION,EM_FILL_PUMP,BATCH-FILL-DEV-018,TS_FILL_PUMP_FLOW,Complete,Fill Version Three Commission Operation Completion Phase executes verification activities for operation OP-FILL-V3-COMMISSION
PH_OP_FILL_STERILE_FLUSH_INIT,PH-OP-FILL-STERILE-FLUSH-INIT,Sterile Flush Operation Initialization Phase,Initialization,10,OP-FILL-STERILE-FLUSH,EM_FILL_PUMP,BATCH-FILL-2024-010,TS_FILL_PUMP_FLOW|TS_FILL_PUMP_TEMP,Running,Sterile Flush Operation Initialization Phase executes initialization activities for operation OP-FILL-STERILE-FLUSH
PH_OP_FILL_STERILE_FLUSH_PROC,PH-OP-FILL-STERILE-FLUSH-PROC,Sterile Flush Operation Processing Phase,Processing,20,OP-FILL-STERILE-FLUSH,EM_FILL_PUMP,BATCH-FILL-2024-010,TS_FILL_PUMP_TEMP|TS_FILL_PUMP_PRESS,Running,Sterile Flush Operation Processing Phase executes processing activities for operation OP-FILL-STERILE-FLUSH
PH_OP_FILL_STERILE_FLUSH_COMP,PH-OP-FILL-STERILE-FLUSH-COMP,Sterile Flush Operation Completion Phase,Verification,30,OP-FILL-STERILE-FLUSH,EM_FILL_PUMP,BATCH-FILL-2024-010,TS_FILL_PUMP_PRESS,Complete,Sterile Flush Operation Completion Phase executes verification activities for operation OP-FILL-STERILE-FLUSH
PH_OP_FILL_REWORK_SORT_INIT,PH-OP-FILL-REWORK-SORT-INIT,Fill Rework Sorting Operation Initialization Phase,Initialization,10,OP-FILL-REWORK-SORT,EM_FILL_PUMP,BATCH-FILL-REWORK-011,TS_FILL_PUMP_PRESS|TS_FILL_PUMP_FLOW,Running,Fill Rework Sorting Operation Initialization Phase executes initialization activities for operation OP-FILL-REWORK-SORT
PH_OP_FILL_REWORK_SORT_PROC,PH-OP-FILL-REWORK-SORT-PROC,Fill Rework Sorting Operation Processing Phase,Processing,20,OP-FILL-REWORK-SORT,EM_FILL_PUMP,BATCH-FILL-REWORK-011,TS_FILL_PUMP_FLOW|TS_FILL_PUMP_CURRENT,Running,Fill Rework Sorting Operation Processing Phase executes processing activities for operation OP-FILL-REWORK-SORT
PH_OP_FILL_REWORK_SORT_COMP,PH-OP-FILL-REWORK-SORT-COMP,Fill Rework Sorting Operation Completion Phase,Verification,30,OP-FILL-REWORK-SORT,EM_FILL_PUMP,BATCH-FILL-REWORK-011,TS_FILL_PUMP_CURRENT,Complete,Fill Rework Sorting Operation Completion Phase executes verification activities for operation OP-FILL-REWORK-SORT
PH_OP_FILL_CIP_CIRC_INIT,PH-OP-FILL-CIP-CIRC-INIT,Fill CIP Circulation Operation Initialization Phase,Initialization,10,OP-FILL-CIP-CIRC,EM_FILL_PUMP,BATCH-FILL-CIP-012,TS_FILL_PANEL_STATUS|TS_FILL_VFD_SPEED,Running,Fill CIP Circulation Operation Initialization Phase executes initialization activities for operation OP-FILL-CIP-CIRC
PH_OP_FILL_CIP_CIRC_PROC,PH-OP-FILL-CIP-CIRC-PROC,Fill CIP Circulation Operation Processing Phase,Processing,20,OP-FILL-CIP-CIRC,EM_FILL_PUMP,BATCH-FILL-CIP-012,TS_FILL_VFD_SPEED|TS_FILL_PUMP_PRESS,Running,Fill CIP Circulation Operation Processing Phase executes processing activities for operation OP-FILL-CIP-CIRC
PH_OP_FILL_CIP_CIRC_COMP,PH-OP-FILL-CIP-CIRC-COMP,Fill CIP Circulation Operation Completion Phase,Verification,30,OP-FILL-CIP-CIRC,EM_FILL_PUMP,BATCH-FILL-CIP-012,TS_FILL_PUMP_PRESS,Complete,Fill CIP Circulation Operation Completion Phase executes verification activities for operation OP-FILL-CIP-CIRC
PH_OP_R12_CIP_RINSE_INIT,PH-OP-R12-CIP-RINSE-INIT,R12 CIP Rinse Operation Initialization Phase,Initialization,10,OP-R12-CIP-RINSE,EM_R12_CHARGE,BATCH-CIP-2024-005,TS_R12_PANEL_STATUS|TS_R12_VFD_SPEED,Running,R12 CIP Rinse Operation Initialization Phase executes initialization activities for operation OP-R12-CIP-RINSE
PH_OP_R12_CIP_RINSE_PROC,PH-OP-R12-CIP-RINSE-PROC,R12 CIP Rinse Operation Processing Phase,Processing,20,OP-R12-CIP-RINSE,EM_R12_CHARGE,BATCH-CIP-2024-005,TS_R12_VFD_SPEED|TS_R12_CHARGE_FLOW,Running,R12 CIP Rinse Operation Processing Phase executes processing activities for operation OP-R12-CIP-RINSE
PH_OP_R12_CIP_RINSE_COMP,PH-OP-R12-CIP-RINSE-COMP,R12 CIP Rinse Operation Completion Phase,Verification,30,OP-R12-CIP-RINSE,EM_R12_CHARGE,BATCH-CIP-2024-005,TS_R12_CHARGE_FLOW,Complete,R12 CIP Rinse Operation Completion Phase executes verification activities for operation OP-R12-CIP-RINSE
PH_OP_R12_CIP_PASSIV_INIT,PH-OP-R12-CIP-PASSIV-INIT,R12 CIP Passivation Operation Initialization Phase,Initialization,10,OP-R12-CIP-PASSIV,EM_R12_CHARGE,BATCH-CIP-2024-016,TS_R12_SAFETY_STATE|TS_R12_PANEL_STATUS,Running,R12 CIP Passivation Operation Initialization Phase executes initialization activities for operation OP-R12-CIP-PASSIV
PH_OP_R12_CIP_PASSIV_PROC,PH-OP-R12-CIP-PASSIV-PROC,R12 CIP Passivation Operation Processing Phase,Processing,20,OP-R12-CIP-PASSIV,EM_R12_CHARGE,BATCH-CIP-2024-016,TS_R12_PANEL_STATUS|TS_R12_CHARGE_TEMP,Running,R12 CIP Passivation Operation Processing Phase executes processing activities for operation OP-R12-CIP-PASSIV
PH_OP_R12_CIP_PASSIV_COMP,PH-OP-R12-CIP-PASSIV-COMP,R12 CIP Passivation Operation Completion Phase,Verification,30,OP-R12-CIP-PASSIV,EM_R12_CHARGE,BATCH-CIP-2024-016,TS_R12_CHARGE_TEMP,Complete,R12 CIP Passivation Operation Completion Phase executes verification activities for operation OP-R12-CIP-PASSIV
PH_OP_QC_CHROM_LOAD_INIT,PH-OP-QC-CHROM-LOAD-INIT,QC Chromatography Load Operation Initialization Phase,Initialization,10,OP-QC-CHROM-LOAD,EM_QC_CHROM,BATCH-QC-2024-004,TS_QC_CHROM_PRESS|TS_QC_CHROM_FLOW,Running,QC Chromatography Load Operation Initialization Phase executes initialization activities for operation OP-QC-CHROM-LOAD
PH_OP_QC_CHROM_LOAD_PROC,PH-OP-QC-CHROM-LOAD-PROC,QC Chromatography Load Operation Processing Phase,Processing,20,OP-QC-CHROM-LOAD,EM_QC_CHROM,BATCH-QC-2024-004,TS_QC_CHROM_FLOW|TS_QC_CHROM_VALVE_POS,Running,QC Chromatography Load Operation Processing Phase executes processing activities for operation OP-QC-CHROM-LOAD
PH_OP_QC_CHROM_LOAD_COMP,PH-OP-QC-CHROM-LOAD-COMP,QC Chromatography Load Operation Completion Phase,Verification,30,OP-QC-CHROM-LOAD,EM_QC_CHROM,BATCH-QC-2024-004,TS_QC_CHROM_VALVE_POS|TS_QC_DATA_SYSTEM_STATUS,Complete,QC Chromatography Load Operation Completion Phase executes verification activities for operation OP-QC-CHROM-LOAD
PH_OP_QC_STABILITY_PREP_INIT,PH-OP-QC-STABILITY-PREP-INIT,QC Stability Preparation Operation Initialization Phase,Initialization,10,OP-QC-STABILITY-PREP,EM_QC_CHROM,BATCH-QC-STAB-013,TS_QC_DATA_SYSTEM_STATUS|TS_QC_FRACTION_WEIGHT,Running,QC Stability Preparation Operation Initialization Phase executes initialization activities for operation OP-QC-STABILITY-PREP
PH_OP_QC_STABILITY_PREP_PROC,PH-OP-QC-STABILITY-PREP-PROC,QC Stability Preparation Operation Processing Phase,Processing,20,OP-QC-STABILITY-PREP,EM_QC_CHROM|EM_QC_FRACTION,BATCH-QC-STAB-013,TS_QC_FRACTION_WEIGHT|TS_QC_FRACTION_PUMP_SPEED,Running,QC Stability Preparation Operation Processing Phase executes processing activities for operation OP-QC-STABILITY-PREP
PH_OP_QC_STABILITY_PREP_COMP,PH-OP-QC-STABILITY-PREP-COMP,QC Stability Preparation Operation Completion Phase,Verification,30,OP-QC-STABILITY-PREP,EM_QC_CHROM|EM_QC_FRACTION,BATCH-QC-STAB-013,TS_QC_FRACTION_PUMP_SPEED,Complete,QC Stability Preparation Operation Completion Phase executes verification activities for operation OP-QC-STABILITY-PREP
PH_OP_QC_MICRO_DISPENSE_INIT,PH-OP-QC-MICRO-DISPENSE-INIT,QC Micro Media Dispense Operation Initialization Phase,Initialization,10,OP-QC-MICRO-DISPENSE,EM_QC_UV,BATCH-QC-MICRO-014,TS_QC_UV_INTENSITY|TS_QC_UV_LAMP_TEMP,Running,QC Micro Media Dispense Operation Initialization Phase executes initialization activities for operation OP-QC-MICRO-DISPENSE
PH_OP_QC_MICRO_DISPENSE_PROC,PH-OP-QC-MICRO-DISPENSE-PROC,QC Micro Media Dispense Operation Processing Phase,Processing,20,OP-QC-MICRO-DISPENSE,EM_QC_UV|EM_QC_FRACTION,BATCH-QC-MICRO-014,TS_QC_UV_LAMP_TEMP|TS_QC_UV_POWER_LOAD,Running,QC Micro Media Dispense Operation Processing Phase executes processing activities for operation OP-QC-MICRO-DISPENSE
PH_OP_QC_MICRO_DISPENSE_COMP,PH-OP-QC-MICRO-DISPENSE-COMP,QC Micro Media Dispense Operation Completion Phase,Verification,30,OP-QC-MICRO-DISPENSE,EM_QC_UV|EM_QC_FRACTION,BATCH-QC-MICRO-014,TS_QC_UV_POWER_LOAD|TS_QC_UV_COOLANT_TEMP,Complete,QC Micro Media Dispense Operation Completion Phase executes verification activities for operation OP-QC-MICRO-DISPENSE
PH_OP_BLDR_MAIN_MIX_INIT,PH-OP-BLDR-MAIN-MIX-INIT,Blender Main Mixing Operation Initialization Phase,Initialization,10,OP-BLDR-MAIN-MIX,EM_BLDR_MOTOR,BATCH-BLDR-015,TS_BLDR_MOTOR_SPEED|TS_BLDR_TORQUE,Running,Blender Main Mixing Operation Initialization Phase executes initialization activities for operation OP-BLDR-MAIN-MIX
PH_OP_BLDR_MAIN_MIX_PROC,PH-OP-BLDR-MAIN-MIX-PROC,Blender Main Mixing Operation Processing Phase,Processing,20,OP-BLDR-MAIN-MIX,EM_BLDR_MOTOR,BATCH-BLDR-015,TS_BLDR_TORQUE|TS_BLDR_VIBRATION,Running,Blender Main Mixing Operation Processing Phase executes processing activities for operation OP-BLDR-MAIN-MIX
PH_OP_BLDR_MAIN_MIX_COMP,PH-OP-BLDR-MAIN-MIX-COMP,Blender Main Mixing Operation Completion Phase,Verification,30,OP-BLDR-MAIN-MIX,EM_BLDR_MOTOR,BATCH-BLDR-015,TS_BLDR_VIBRATION|TS_BLDR_FILTER_DP,Complete,Blender Main Mixing Operation Completion Phase executes verification activities for operation OP-BLDR-MAIN-MIX
PH_OP_BLDR_FINISH_DISCHARGE_INIT,PH-OP-BLDR-FINISH-DISCHARGE-INIT,Blender Final Discharge Operation Initialization Phase,Initialization,10,OP-BLDR-FINISH-DISCHARGE,EM_BLDR_MOTOR,BATCH-BLDR-016,TS_BLDR_VIBRATION|TS_BLDR_MOTOR_SPEED,Running,Blender Final Discharge Operation Initialization Phase executes initialization activities for operation OP-BLDR-FINISH-DISCHARGE
PH_OP_BLDR_FINISH_DISCHARGE_PROC,PH-OP-BLDR-FINISH-DISCHARGE-PROC,Blender Final Discharge Operation Processing Phase,Processing,20,OP-BLDR-FINISH-DISCHARGE,EM_BLDR_MOTOR,BATCH-BLDR-016,TS_BLDR_MOTOR_SPEED|TS_BLDR_TORQUE,Running,Blender Final Discharge Operation Processing Phase executes processing activities for operation OP-BLDR-FINISH-DISCHARGE
PH_OP_BLDR_FINISH_DISCHARGE_COMP,PH-OP-BLDR-FINISH-DISCHARGE-COMP,Blender Final Discharge Operation Completion Phase,Verification,30,OP-BLDR-FINISH-DISCHARGE,EM_BLDR_MOTOR,BATCH-BLDR-016,TS_BLDR_TORQUE,Complete,Blender Final Discharge Operation Completion Phase executes verification activities for operation OP-BLDR-FINISH-DISCHARGE
PH_OP_PACK_LABEL_APPLY_INIT,PH-OP-PACK-LABEL-APPLY-INIT,Packaging Label Apply Operation Initialization Phase,Initialization,10,OP-PACK-LABEL-APPLY,EM_CONV_DRV1,BATCH-PACK-017,TS_CONV_SPEED|TS_CONV_PANEL_MODE,Running,Packaging Label Apply Operation Initialization Phase executes initialization activities for operation OP-PACK-LABEL-APPLY
PH_OP_PACK_LABEL_APPLY_PROC,PH-OP-PACK-LABEL-APPLY-PROC,Packaging Label Apply Operation Processing Phase,Processing,20,OP-PACK-LABEL-APPLY,EM_CONV_DRV1,BATCH-PACK-017,TS_CONV_PANEL_MODE|TS_CONV_VFD_LOAD,Running,Packaging Label Apply Operation Processing Phase executes processing activities for operation OP-PACK-LABEL-APPLY
PH_OP_PACK_LABEL_APPLY_COMP,PH-OP-PACK-LABEL-APPLY-COMP,Packaging Label Apply Operation Completion Phase,Verification,30,OP-PACK-LABEL-APPLY,EM_CONV_DRV1,BATCH-PACK-017,TS_CONV_VFD_LOAD|TS_CONV_SCANNER_STATE,Complete,Packaging Label Apply Operation Completion Phase executes verification activities for operation OP-PACK-LABEL-APPLY
PH_OP_QA_INSPECT_INIT,PH-OP-QA-INSPECT-INIT,QA Inspection Operation Initialization Phase,Initialization,10,OP-QA-INSPECT,EM_QA_SENS,BATCH-QC-STAB-013,TS_QA_PH|TS_QA_CONDUCTIVITY,Running,QA Inspection Operation Initialization Phase executes initialization activities for operation OP-QA-INSPECT
PH_OP_QA_INSPECT_PROC,PH-OP-QA-INSPECT-PROC,QA Inspection Operation Processing Phase,Processing,20,OP-QA-INSPECT,EM_QA_SENS,BATCH-QC-STAB-013,TS_QA_CONDUCTIVITY|TS_QA_TURBIDITY,Running,QA Inspection Operation Processing Phase executes processing activities for operation OP-QA-INSPECT
